key,p_down,p_up
'j',2020-08-01 23:43:30.814448,2020-08-01 23:43:30.897962
'k',2020-08-01 23:43:31.022130,2020-08-01 23:43:31.104383
'l',2020-08-01 23:43:31.272725,2020-08-01 23:43:31.436883
'k',2020-08-01 23:43:40.051276,2020-08-01 23:43:41.082437
'm',2020-08-01 23:43:49.784250,2020-08-01 23:43:51.798050
